layer_idx,neuron_idx,dpo_projection_value,dpo_activation_value
0,6541,-0.00018990039825439453,0.0275421142578125
16,658,,
21,1002,,
17,3512,,
22,8020,,
22,1604,,
25,8291,,
25,1875,,
11,3697,,
16,4041,,
21,4385,,
7,6207,,
12,6551,,
17,6895,,
12,135,,
17,479,,
8,9061,,
8,2645,,
13,2989,,
11,7080,,
16,7424,,
11,664,,
16,1008,,
2,2830,,
7,3174,,
12,3518,,
17,3862,,
3,5684,,
8,6028,,
13,6372,,
2,6213,,
7,6557,,
23,674,,
7,141,,
3,9067,,
24,3528,,
3,2651,,
8,2995,,
18,3713,,
23,4057,,
19,6567,,
24,6911,,
19,151,,
24,495,,
15,2661,,
20,3005,,
18,7096,,
23,7440,,
18,680,,
23,1024,,
14,3190,,
19,3534,,
24,3878,,
10,5700,,
15,6044,,
20,6388,,
18,4063,,
6,1794,,
9,2065,,
14,6573,,
19,6917,,
14,157,,
5,8739,,
10,9083,,
5,2323,,
10,2667,,
15,3011,,
1,4833,,
6,5177,,
4,5104,,
9,5448,,
0,1198,0.00032973289489746094,0.066162109375
5,5706,,
10,6050,,
1,8216,,
6,8560,,
1,1800,,
4,8487,,
6,2144,,
9,8831,,
4,2071,,
9,2415,,
0,4581,1.9550323486328125e-05,0.00945281982421875
5,9089,,
22,6060,,
1,5183,,
25,6331,,
4,5454,,
21,8841,,
0,7964,0.0005884170532226562,0.06390380859375
21,2425,,
0,1548,-3.6954879760742188e-06,0.004642486572265625
22,3027,,
25,3298,,
11,5120,,
16,5464,,
21,5808,,
12,7974,,
17,8318,,
12,1558,,
17,1902,,
22,6410,,
13,4412,,
11,8503,,
16,8847,,
21,9191,,
11,2087,,
16,2431,,
21,2775,,
2,4253,,
7,4597,,
12,4941,,
17,5285,,
3,7107,,
8,7451,,
13,7795,,
3,691,,
8,1035,,
13,1379,,
11,5470,,
2,7636,,
7,7980,,
12,8324,,
2,1220,,
7,1564,,
12,1908,,
3,4074,,
8,4418,,
13,4762,,
23,5480,,
2,4603,,
24,8334,,
3,7457,,
19,1574,,
24,1918,,
3,1041,,
20,4428,,
18,8519,,
23,8863,,
18,2103,,
23,2447,,
14,4613,,
19,4957,,
24,5301,,
15,7467,,
20,7811,,
10,707,,
15,1051,,
20,1395,,
18,5486,,
23,5830,,
14,7996,,
19,8340,,
24,8684,,
14,1580,,
19,1924,,
5,3746,,
10,4090,,
15,4434,,
20,4778,,
18,8869,,
6,6600,,
6,184,,
9,6871,,
4,111,,
9,455,,
14,4963,,
5,7129,,
10,7473,,
15,7817,,
5,713,,
10,1057,,
1,3223,,
6,3567,,
4,3494,,
9,3838,,
0,6004,7.510185241699219e-06,0.0016832351684570312
5,4096,,
1,6606,,
6,6950,,
22,1067,,
1,190,,
4,6877,,
9,7221,,
25,1338,,
4,461,,
25,7754,,
0,2971,2.1219253540039062e-05,-0.005245208740234375
22,4450,,
25,4721,,
16,6887,,
21,7231,,
0,6354,5.6743621826171875e-05,0.02008056640625
16,471,,
21,815,,
17,3325,,
22,7833,,
22,1417,,
25,8104,,
25,1688,,
11,3510,,
16,3854,,
21,4198,,
7,6020,,
12,6364,,
17,6708,,
17,292,,
8,8874,,
8,2458,,
13,2802,,
11,6893,,
16,7237,,
11,477,,
16,821,,
2,9059,,
2,2643,,
7,2987,,
12,3331,,
17,3675,,
3,5497,,
8,5841,,
13,6185,,
2,6026,,
7,6370,,
23,487,,
3,8880,,
24,3341,,
3,2464,,
8,2808,,
18,3526,,
23,3870,,
19,6380,,
24,6724,,
24,308,,
15,2474,,
20,2818,,
18,6909,,
23,7253,,
18,493,,
23,837,,
14,3003,,
19,3347,,
24,3691,,
10,5513,,
15,5857,,
20,6201,,
18,3876,,
6,1607,,
9,8294,,
9,1878,,
14,6386,,
19,6730,,
5,8552,,
10,8896,,
5,2136,,
10,2480,,
15,2824,,
1,4646,,
6,4990,,
4,4917,,
9,5261,,
0,7427,0.00019669532775878906,-0.0614013671875
0,1011,6.407499313354492e-05,0.0096588134765625
5,5519,,
10,5863,,
1,8029,,
6,8373,,
1,1613,,
4,8300,,
6,1957,,
9,8644,,
4,1884,,
9,2228,,
0,4394,0.0001881122589111328,-0.0704345703125
22,5873,,
1,4996,,
25,6144,,
4,5267,,
21,8654,,
0,7777,0.0003097057342529297,-0.08905029296875
21,2238,,
0,1361,-0.0007891654968261719,0.1234130859375
17,4748,,
22,2840,,
25,3111,,
11,4933,,
16,5277,,
21,5621,,
12,7787,,
17,8131,,
12,1371,,
17,1715,,
8,3881,,
13,4225,,
11,8316,,
16,8660,,
21,9004,,
11,1900,,
16,2244,,
21,2588,,
2,4066,,
7,4410,,
12,4754,,
17,5098,,
3,6920,,
8,7264,,
13,7608,,
3,504,,
8,848,,
13,1192,,
11,5283,,
2,7449,,
7,7793,,
12,8137,,
2,1033,,
7,1377,,
3,3887,,
8,4231,,
23,5293,,
2,4416,,
24,8147,,
3,7270,,
19,1387,,
24,1731,,
20,4241,,
18,8332,,
23,8676,,
18,1916,,
23,2260,,
14,4426,,
19,4770,,
24,5114,,
15,7280,,
20,7624,,
10,520,,
15,864,,
20,1208,,
18,5299,,
23,5643,,
14,7809,,
19,8153,,
24,8497,,
14,1393,,
19,1737,,
5,3559,,
10,3903,,
15,4247,,
20,4591,,
6,6413,,
4,6340,,
9,6684,,
9,268,,
14,4776,,
5,6942,,
10,7286,,
15,7630,,
5,526,,
10,870,,
1,3036,,
6,3380,,
4,3307,,
9,3651,,
0,5817,-4.470348358154297e-06,0.05303955078125
5,3909,,
22,7296,,
1,6419,,
6,6763,,
22,880,,
1,3,,
4,6690,,
25,1151,,
25,7567,,
4,274,,
0,9200,-3.713369369506836e-05,-0.0587158203125
21,3661,,
0,2784,-0.0002397298812866211,-0.0190582275390625
22,4263,,
25,4534,,
16,6700,,
21,7044,,
16,284,,
21,628,,
12,2794,,
17,3138,,
22,7646,,
22,1230,,
25,7917,,
13,5648,,
11,3323,,
16,3667,,
21,4011,,
7,5833,,
12,6177,,
17,6521,,
17,105,,
8,8687,,
13,9031,,
3,1927,,
8,2271,,
13,2615,,
11,6706,,
16,7050,,
11,290,,
2,8872,,
2,2456,,
7,2800,,
12,3144,,
3,5310,,
8,5654,,
13,5998,,
2,5839,,
7,6183,,
23,300,,
3,8693,,
8,9037,,
24,3154,,
3,2277,,
18,3339,,
23,3683,,
19,6193,,
24,6537,,
24,121,,
20,9047,,
15,2287,,
20,2631,,
18,6722,,
23,7066,,
18,306,,
23,650,,
14,2816,,
19,3160,,
24,3504,,
10,5326,,
15,5670,,
20,6014,,
18,3689,,
6,1420,,
9,8107,,
9,1691,,
14,6199,,
19,6543,,
5,8365,,
10,8709,,
15,9053,,
5,1949,,
10,2293,,
15,2637,,
1,4459,,
6,4803,,
4,4730,,
9,5074,,
0,7240,3.55839729309082e-05,0.015228271484375
0,824,-0.0013580322265625,-0.218994140625
5,5332,,
10,5676,,
1,7842,,
6,8186,,
1,1426,,
4,8113,,
6,1770,,
9,8457,,
4,1697,,
9,2041,,
25,2574,,
0,4207,0.00015497207641601562,0.0426025390625
22,5686,,
1,4809,,
25,5957,,
21,8467,,
0,7590,8.356571197509766e-05,0.01543426513671875
16,1707,,
21,2051,,
0,1174,-7.855892181396484e-05,0.02203369140625
17,4561,,
22,9069,,
22,2653,,
25,2924,,
11,4746,,
16,5090,,
21,5434,,
12,7600,,
17,7944,,
7,840,,
12,1184,,
17,1528,,
8,3694,,
13,4038,,
11,8129,,
16,8473,,
21,8817,,
11,1713,,
16,2057,,
2,3879,,
7,4223,,
12,4567,,
17,4911,,
3,6733,,
8,7077,,
13,7421,,
3,317,,
8,661,,
13,1005,,
11,5096,,
2,7262,,
7,7606,,
12,7950,,
2,846,,
7,1190,,
3,3700,,
8,4044,,
23,5106,,
2,4229,,
24,7960,,
3,7083,,
19,1200,,
24,1544,,
20,4054,,
18,8145,,
23,8489,,
18,1729,,
23,2073,,
14,4239,,
19,4583,,
24,4927,,
15,7093,,
20,7437,,
10,333,,
15,677,,
20,1021,,
18,5112,,
23,5456,,
14,7622,,
19,7966,,
24,8310,,
14,1206,,
19,1550,,
5,3372,,
10,3716,,
15,4060,,
20,4404,,
6,6226,,
4,6153,,
9,6497,,
9,81,,
14,4589,,
5,6755,,
10,7099,,
15,7443,,
5,339,,
10,683,,
1,2849,,
6,3193,,
4,3120,,
9,3464,,
0,5630,1.7642974853515625e-05,-0.003765106201171875
5,3722,,
22,7109,,
1,6232,,
22,693,,
25,7380,,
4,6503,,
25,964,,
4,87,,
0,9013,-7.277727127075195e-05,-0.0186614990234375
21,3474,,
0,2597,0.00046706199645996094,0.038726806640625
22,4076,,
25,4347,,
16,6513,,
21,6857,,
16,97,,
21,441,,
12,2607,,
17,2951,,
22,7459,,
22,1043,,
25,7730,,
13,5461,,
11,3136,,
16,3480,,
21,3824,,
7,5646,,
12,5990,,
17,6334,,
8,8500,,
13,8844,,
3,1740,,
8,2084,,
13,2428,,
11,6519,,
16,6863,,
11,103,,
2,8685,,
7,9029,,
2,2269,,
7,2613,,
12,2957,,
3,5123,,
8,5467,,
13,5811,,
23,6529,,
2,5652,,
7,5996,,
23,113,,
3,8506,,
8,8850,,
24,2967,,
3,2090,,
18,3152,,
23,3496,,
14,5662,,
19,6006,,
24,6350,,
15,8516,,
20,8860,,
15,2100,,
20,2444,,
18,6535,,
23,6879,,
18,119,,
23,463,,
14,9045,,
14,2629,,
19,2973,,
24,3317,,
5,4795,,
10,5139,,
15,5483,,
20,5827,,
6,7649,,
18,3502,,
6,1233,,
9,7920,,
4,1160,,
9,1504,,
14,6012,,
5,8178,,
10,8522,,
15,8866,,
5,1762,,
10,2106,,
15,2450,,
1,4272,,
6,4616,,
4,4543,,
9,4887,,
0,7053,0.00017845630645751953,0.03741455078125
0,637,1.1980533599853516e-05,-0.0022220611572265625
5,5145,,
1,7655,,
6,7999,,
22,2116,,
1,1239,,
4,7926,,
6,1583,,
9,8270,,
4,1510,,
25,2387,,
0,4020,0.00019824504852294922,-0.032196044921875
22,5499,,
25,5770,,
21,8280,,
0,7403,-0.00025534629821777344,-0.035308837890625
16,1520,,
21,1864,,
17,4374,,
22,8882,,
22,2466,,
25,9153,,
25,2737,,
13,468,,
11,4559,,
16,4903,,
21,5247,,
12,7413,,
17,7757,,
7,653,,
12,997,,
17,1341,,
8,3507,,
13,3851,,
11,7942,,
16,8286,,
21,8630,,
11,1526,,
16,1870,,
2,3692,,
7,4036,,
12,4380,,
17,4724,,
3,6546,,
8,6890,,
13,7234,,
3,130,,
8,474,,
13,818,,
11,4909,,
2,7075,,
7,7419,,
12,7763,,
2,659,,
7,1003,,
3,3513,,
8,3857,,
18,4575,,
23,4919,,
2,4042,,
19,7429,,
24,7773,,
3,6896,,
19,1013,,
24,1357,,
20,3867,,
18,7958,,
23,8302,,
18,1542,,
23,1886,,
14,4052,,
19,4396,,
24,4740,,
10,6562,,
15,6906,,
20,7250,,
10,146,,
15,490,,
20,834,,
18,4925,,
9,2927,,
14,7435,,
19,7779,,
14,1019,,
19,1363,,
5,3185,,
10,3529,,
15,3873,,
20,4217,,
1,5695,,
6,6039,,
4,5966,,
9,6310,,
0,2060,-3.629922866821289e-05,0.039093017578125
5,6568,,
10,6912,,
5,152,,
10,496,,
1,9078,,
1,2662,,
6,3006,,
4,2933,,
9,3277,,
0,5443,0.00022113323211669922,-0.0207061767578125
22,6922,,
1,6045,,
22,506,,
25,7193,,
4,6316,,
25,777,,
0,8826,7.18832015991211e-05,0.00484466552734375
21,3287,,
0,2410,-0.0007038116455078125,0.1954345703125
22,3889,,
25,4160,,
16,6326,,
21,6670,,
21,254,,
17,9180,,
12,2420,,
17,2764,,
22,7272,,
25,7543,,
13,5274,,
11,2949,,
16,3293,,
21,3637,,
7,5459,,
12,5803,,
17,6147,,
8,8313,,
13,8657,,
3,1553,,
8,1897,,
13,2241,,
11,6332,,
16,6676,,
2,8498,,
7,8842,,
12,9186,,
2,2082,,
7,2426,,
12,2770,,
3,4936,,
8,5280,,
13,5624,,
23,6342,,
2,5465,,
7,5809,,
24,9196,,
3,8319,,
8,8663,,
24,2780,,
3,1903,,
18,2965,,
23,3309,,
14,5475,,
19,5819,,
24,6163,,
15,8329,,
20,8673,,
15,1913,,
20,2257,,
18,6348,,
23,6692,,
23,276,,
14,8858,,
19,9202,,
14,2442,,
19,2786,,
24,3130,,
5,4608,,
10,4952,,
15,5296,,
20,5640,,
6,7462,,
6,1046,,
9,7733,,
4,973,,
9,1317,,
14,5825,,
5,7991,,
10,8335,,
15,8679,,
5,1575,,
10,1919,,
15,2263,,
1,4085,,
6,4429,,
4,4356,,
9,4700,,
0,6866,-5.960464477539062e-07,0.0018291473388671875
0,450,-0.001018524169921875,-0.11468505859375
5,4958,,
1,7468,,
6,7812,,
22,1929,,
1,1052,,
4,7739,,
6,1396,,
9,8083,,
4,1323,,
25,2200,,
0,3833,0.00019562244415283203,-0.017425537109375
22,5312,,
25,5583,,
21,8093,,
0,7216,-0.00034236907958984375,0.033721923828125
16,1333,,
21,1677,,
17,4187,,
22,8695,,
22,2279,,
25,8966,,
25,2550,,
13,281,,
11,4372,,
16,4716,,
21,5060,,
7,6882,,
12,7226,,
17,7570,,
7,466,,
12,810,,
17,1154,,
8,3320,,
13,3664,,
11,7755,,
16,8099,,
11,1339,,
16,1683,,
2,3505,,
7,3849,,
12,4193,,
17,4537,,
3,6359,,
8,6703,,
13,7047,,
8,287,,
13,631,,
11,4722,,
2,6888,,
7,7232,,
2,472,,
7,816,,
24,4203,,
3,3326,,
8,3670,,
18,4388,,
23,4732,,
2,3855,,
19,7242,,
24,7586,,
19,826,,
24,1170,,
15,3336,,
20,3680,,
18,7771,,
23,8115,,
18,1355,,
23,1699,,
14,3865,,
19,4209,,
24,4553,,
10,6375,,
15,6719,,
20,7063,,
15,303,,
20,647,,
18,4738,,
6,2469,,
9,2740,,
14,7248,,
19,7592,,
14,832,,
19,1176,,
5,2998,,
10,3342,,
15,3686,,
1,5508,,
6,5852,,
4,5779,,
9,6123,,
0,1873,5.173683166503906e-05,-0.0146636962890625
5,6381,,
10,6725,,
1,8891,,
1,2475,,
4,9162,,
6,2819,,
4,2746,,
9,3090,,
0,5256,0.0001957416534423828,-0.072021484375
22,6735,,
1,5858,,
22,319,,
25,7006,,
4,6129,,
25,590,,
0,8639,-6.496906280517578e-05,-0.00873565673828125
21,3100,,
0,2223,-3.141164779663086e-05,-0.01873779296875
22,3702,,
25,3973,,
11,5795,,
16,6139,,
21,6483,,
21,67,,
12,8649,,
17,8993,,
12,2233,,
17,2577,,
22,7085,,
13,5087,,
11,9178,,
11,2762,,
16,3106,,
21,3450,,
2,4928,,
7,5272,,
12,5616,,
17,5960,,
3,7782,,
8,8126,,
13,8470,,
3,1366,,
8,1710,,
13,2054,,
11,6145,,
2,8311,,
7,8655,,
12,8999,,
2,1895,,
7,2239,,
12,2583,,
3,4749,,
8,5093,,
13,5437,,
23,6155,,
2,5278,,
24,9009,,
3,8132,,
19,2249,,
24,2593,,
3,1716,,
20,5103,,
18,9194,,
18,2778,,
23,3122,,
14,5288,,
19,5632,,
24,5976,,
15,8142,,
20,8486,,
10,1382,,
15,1726,,
20,2070,,
18,6161,,
23,6505,,
14,8671,,
19,9015,,
14,2255,,
19,2599,,
5,4421,,
10,4765,,
15,5109,,
20,5453,,
6,7275,,
1,515,,
6,859,,
9,7546,,
4,786,,
9,1130,,
14,5638,,
5,7804,,
10,8148,,
15,8492,,
5,1388,,
10,1732,,
1,3898,,
6,4242,,
4,4169,,
9,4513,,
0,6679,5.358457565307617e-05,-0.12322998046875
0,263,-4.6133995056152344e-05,0.0124969482421875
5,4771,,
1,7281,,
6,7625,,
22,1742,,
1,865,,
4,7552,,
9,7896,,
25,2013,,
4,1136,,
25,8429,,
0,3646,-0.0002815723419189453,-0.0219573974609375
22,5125,,
25,5396,,
16,7562,,
21,7906,,
0,7029,-9.900331497192383e-05,-0.364990234375
16,1146,,
21,1490,,
17,4000,,
22,8508,,
22,2092,,
25,8779,,
25,2363,,
13,94,,
11,4185,,
16,4529,,
21,4873,,
7,6695,,
12,7039,,
17,7383,,
7,279,,
12,623,,
17,967,,
8,3133,,
13,3477,,
11,7568,,
16,7912,,
11,1152,,
16,1496,,
2,3318,,
7,3662,,
12,4006,,
17,4350,,
3,6172,,
8,6516,,
13,6860,,
8,100,,
13,444,,
2,6701,,
7,7045,,
23,1162,,
2,285,,
7,629,,
24,4016,,
3,3139,,
8,3483,,
18,4201,,
23,4545,,
19,7055,,
24,7399,,
14,295,,
19,639,,
24,983,,
15,3149,,
20,3493,,
18,7584,,
23,7928,,
18,1168,,
23,1512,,
14,3678,,
19,4022,,
24,4366,,
10,6188,,
15,6532,,
20,6876,,
15,116,,
20,460,,
18,4551,,
6,2282,,
9,2553,,
14,7061,,
19,7405,,
14,645,,
5,2811,,
10,3155,,
15,3499,,
1,5321,,
6,5665,,
4,5592,,
9,5936,,
0,1686,2.384185791015625e-07,-6.455183029174805e-05
5,6194,,
10,6538,,
1,8704,,
6,9048,,
1,2288,,
4,8975,,
6,2632,,
4,2559,,
9,2903,,
0,5069,-0.000225067138671875,0.058990478515625
22,6548,,
1,5671,,
22,132,,
25,6819,,
4,5942,,
25,403,,
0,8452,0.00021886825561523438,-0.0191192626953125
21,2913,,
0,2036,0.0001697540283203125,0.0279083251953125
22,3515,,
25,3786,,
11,5608,,
16,5952,,
21,6296,,
12,8462,,
17,8806,,
12,2046,,
17,2390,,
22,6898,,
13,4900,,
11,8991,,
11,2575,,
16,2919,,
21,3263,,
2,4741,,
7,5085,,
12,5429,,
17,5773,,
3,7595,,
8,7939,,
13,8283,,
3,1179,,
8,1523,,
13,1867,,
11,5958,,
2,8124,,
7,8468,,
12,8812,,
2,1708,,
7,2052,,
12,2396,,
3,4562,,
8,4906,,
23,5968,,
2,5091,,
24,8822,,
3,7945,,
19,2062,,
24,2406,,
3,1529,,
20,4916,,
18,9007,,
18,2591,,
23,2935,,
14,5101,,
19,5445,,
24,5789,,
15,7955,,
20,8299,,
10,1195,,
15,1539,,
20,1883,,
18,5974,,
23,6318,,
14,8484,,
19,8828,,
24,9172,,
14,2068,,
19,2412,,
5,4234,,
10,4578,,
15,4922,,
20,5266,,
6,7088,,
1,328,,
4,7015,,
6,672,,
9,7359,,
4,599,,
9,943,,
14,5451,,
5,7617,,
10,7961,,
15,8305,,
5,1201,,
10,1545,,
1,3711,,
6,4055,,
4,3982,,
9,4326,,
0,6492,1.919269561767578e-05,0.002986907958984375
0,76,4.45246696472168e-05,-0.0018224716186523438
5,4584,,
22,7971,,
1,7094,,
6,7438,,
22,1555,,
1,678,,
4,7365,,
25,1826,,
25,8242,,
4,949,,
21,4336,,
0,3459,-0.00010657310485839844,0.049163818359375
22,4938,,
25,5209,,
16,7375,,
21,7719,,
11,615,,
16,959,,
21,1303,,
12,3469,,
17,3813,,
22,8321,,
22,1905,,
25,8592,,
13,6323,,
11,3998,,
16,4342,,
21,4686,,
7,6508,,
12,6852,,
17,7196,,
7,92,,
12,436,,
17,780,,
3,2602,,
8,2946,,
13,3290,,
11,7381,,
16,7725,,
11,965,,
2,3131,,
7,3475,,
12,3819,,
3,5985,,
8,6329,,
13,6673,,
13,257,,
2,6514,,
7,6858,,
23,975,,
2,98,,
24,3829,,
3,2952,,
18,4014,,
23,4358,,
19,6868,,
24,7212,,
14,108,,
19,452,,
24,796,,
15,2962,,
20,3306,,
18,7397,,
23,7741,,
18,981,,
23,1325,,
14,3491,,
19,3835,,
24,4179,,
10,6001,,
15,6345,,
20,6689,,
20,273,,
18,4364,,
6,2095,,
9,8782,,
9,2366,,
14,6874,,
19,7218,,
14,458,,
5,9040,,
5,2624,,
10,2968,,
15,3312,,
1,5134,,
6,5478,,
4,5405,,
9,5749,,
0,7915,0.00024378299713134766,0.06256103515625
0,1499,0.00029277801513671875,0.2464599609375
5,6007,,
10,6351,,
1,8517,,
6,8861,,
1,2101,,
4,8788,,
6,2445,,
9,9132,,
4,2372,,
9,2716,,
25,3249,,
0,4882,-5.1856040954589844e-05,-0.1329345703125
22,6361,,
1,5484,,
25,6632,,
25,216,,
21,9142,,
0,8265,-2.1457672119140625e-05,0.0114898681640625
16,2382,,
21,2726,,
0,1849,9.763240814208984e-05,-0.0743408203125
17,5236,,
22,3328,,
25,3599,,
11,5421,,
16,5765,,
21,6109,,
12,8275,,
17,8619,,
7,1515,,
12,1859,,
17,2203,,
8,4369,,
13,4713,,
11,8804,,
16,9148,,
11,2388,,
16,2732,,
2,4554,,
7,4898,,
12,5242,,
17,5586,,
3,7408,,
8,7752,,
13,8096,,
3,992,,
8,1336,,
13,1680,,
11,5771,,
2,7937,,
7,8281,,
12,8625,,
2,1521,,
7,1865,,
3,4375,,
8,4719,,
23,5781,,
2,4904,,
24,8635,,
3,7758,,
19,1875,,
24,2219,,
20,4729,,
18,8820,,
23,9164,,
18,2404,,
23,2748,,
14,4914,,
19,5258,,
24,5602,,
15,7768,,
20,8112,,
10,1008,,
15,1352,,
20,1696,,
18,5787,,
23,6131,,
14,8297,,
19,8641,,
24,8985,,
14,1881,,
19,2225,,
5,4047,,
10,4391,,
15,4735,,
20,5079,,
6,6901,,
1,141,,
4,6828,,
6,485,,
9,7172,,
4,412,,
9,756,,
14,5264,,
5,7430,,
10,7774,,
15,8118,,
5,1014,,
10,1358,,
1,3524,,
6,3868,,
4,3795,,
9,4139,,
0,6305,5.0067901611328125e-06,-0.0008325576782226562
5,4397,,
22,7784,,
1,6907,,
6,7251,,
22,1368,,
1,491,,
4,7178,,
25,1639,,
25,8055,,
4,762,,
21,4149,,
